year,geography_type,geography_id,geography_name,total_storefronts,vacant_storefronts,vacancy_rate,median_rent_psf_class2_4,total_storefronts_class1,vacant_storefronts_class1,vacancy_rate_class1,total_storefronts_class2_4,vacant_storefronts_class2_4,vacancy_rate_class2_4,total_storefronts_all,vacant_storefronts_all,vacancy_rate_all,has_full_class1_vacancy,has_full_class24_vacancy
2019,census tract,1.0071.00,1.0071.00,172.0,,,10.0,,,,172.0,,,172.0,,,True,False
2019,census tract,1.0072.00,1.0072.00,139.0,,,8.0,,,,139.0,,,139.0,,,True,False
2019,census tract,1.0073.00,1.0073.00,199.0,,,18.83,,,,199.0,,,199.0,,,True,False
2019,census tract,1.0074.00,1.0074.00,217.0,,,9.0,,,,217.0,,,217.0,,,True,False
2019,census tract,1.0075.00,1.0075.00,52.0,,,13.0,,,,52.0,,,52.0,,,True,False
2019,census tract,1.0076.00,1.0076.00,287.0,33.0,0.11498257839721254,12.0,,,,287.0,33.0,0.11498257839721254,287.0,33.0,0.11498257839721254,True,True
2019,census tract,1.0077.00,1.0077.00,129.0,,,15.0,,,,129.0,,,129.0,,,True,False
2019,census tract,1.0078.00,1.0078.00,94.0,,,8.49,,,,94.0,,,94.0,,,True,False
2019,census tract,1.0079.00,1.0079.00,106.0,,,12.5,,,,106.0,,,106.0,,,True,False
2019,census tract,1.0080.00,1.0080.00,138.0,,,8.0,,,,138.0,,,138.0,,,True,False
2019,census tract,1.0081.00,1.0081.00,142.0,,,11.0,,,,142.0,,,142.0,,,True,False
2019,census tract,1.0082.00,1.0082.00,180.0,,,11.8,,,,180.0,,,180.0,,,True,False
2019,census tract,1.0083.00,1.0083.00,118.0,,,14.0,,,,118.0,,,118.0,,,True,False
2019,census tract,1.0084.00,1.0084.00,155.0,11.0,0.07096774193548387,7.0,,,,155.0,11.0,0.07096774193548387,155.0,11.0,0.07096774193548387,True,True
2019,census tract,1.0086.03,1.0086.03,30.0,,,9.0,,,,30.0,,,30.0,,,True,False
2019,census tract,1.0087.00,1.0087.00,139.0,,,10.0,,,,139.0,,,139.0,,,True,False
2019,census tract,1.0088.00,1.0088.00,105.0,,,13.0,,,,105.0,,,105.0,,,True,False
2019,census tract,1.0089.00,1.0089.00,40.0,,,10.84,,,,40.0,,,40.0,,,True,False
2019,census tract,1.0090.00,1.0090.00,124.0,,,11.0,,,,124.0,,,124.0,,,True,False
2019,census tract,1.0091.00,1.0091.00,220.0,20.0,0.09090909090909091,10.0,,,,220.0,20.0,0.09090909090909091,220.0,20.0,0.09090909090909091,True,True
2019,census tract,1.0092.00,1.0092.00,168.0,,,16.0,,,,168.0,,,168.0,,,True,False
2019,census tract,1.0093.00,1.0093.00,85.0,,,9.0,,,,85.0,,,85.0,,,True,False
2019,census tract,1.0094.00,1.0094.00,144.0,,,16.0,,,,144.0,,,144.0,,,True,False
2019,census tract,1.0095.00,1.0095.00,258.0,26.0,0.10077519379844961,7.0,,,,258.0,26.0,0.10077519379844961,258.0,26.0,0.10077519379844961,True,True
2019,census tract,1.0096.00,1.0096.00,392.0,26.0,0.0663265306122449,24.5,,,,392.0,26.0,0.0663265306122449,392.0,26.0,0.0663265306122449,True,True
2019,census tract,1.0098.00,1.0098.00,182.0,,,11.0,,,,182.0,,,182.0,,,True,False
2019,census tract,1.0099.00,1.0099.00,244.0,,,7.0,,,,244.0,,,244.0,,,True,False
2019,census tract,1.0100.00,1.0100.00,173.0,22.0,0.12716763005780346,14.459999999999999,,,,173.0,22.0,0.12716763005780346,173.0,22.0,0.12716763005780346,True,True
2019,census tract,1.0101.00,1.0101.00,180.0,,,10.0,,,,180.0,,,180.0,,,True,False
2019,census tract,1.0102.00,1.0102.00,166.0,,,21.59,,,,166.0,,,166.0,,,True,False
2019,census tract,1.0103.00,1.0103.00,62.0,18.0,0.2903225806451613,9.0,,,,62.0,18.0,0.2903225806451613,62.0,18.0,0.2903225806451613,True,True
2019,census tract,1.0104.00,1.0104.00,223.0,15.0,0.06726457399103139,14.99,,,,223.0,15.0,0.06726457399103139,223.0,15.0,0.06726457399103139,True,True
2019,census tract,1.0106.01,1.0106.01,44.0,,,12.0,,,,44.0,,,44.0,,,True,False
2019,census tract,1.0106.02,1.0106.02,37.0,,,10.0,,,,37.0,,,37.0,,,True,False
2019,census tract,1.0108.00,1.0108.00,191.0,,,9.0,,,,191.0,,,191.0,,,True,False
2019,census tract,1.0109.00,1.0109.00,339.0,,,8.33,,,,339.0,,,339.0,,,True,False
2019,census tract,1.0110.00,1.0110.00,197.0,24.0,0.1218274111675127,10.07,,,,197.0,24.0,0.1218274111675127,197.0,24.0,0.1218274111675127,True,True
2019,census tract,1.0111.00,1.0111.00,133.0,,,7.919999999999999,,,,133.0,,,133.0,,,True,False
2019,census tract,1.0112.01,1.0112.01,87.0,,,17.5,,,,87.0,,,87.0,,,True,False
2019,census tract,1.0112.02,1.0112.02,92.0,,,28.0,,,,92.0,,,92.0,,,True,False
2019,census tract,1.0112.03,1.0112.03,118.0,15.0,0.1271186440677966,12.47,,,,118.0,15.0,0.1271186440677966,118.0,15.0,0.1271186440677966,True,True
2019,census tract,1.0113.00,1.0113.00,250.0,,,15.0,,,,250.0,,,250.0,,,True,False
2019,census tract,1.0114.01,1.0114.01,88.0,,,20.87,,,,88.0,,,88.0,,,True,False
2019,census tract,1.0114.02,1.0114.02,126.0,,,12.0,,,,126.0,,,126.0,,,True,False
2019,census tract,1.0115.00,1.0115.00,101.0,,,9.0,,,,101.0,,,101.0,,,True,False
2019,census tract,1.0116.00,1.0116.00,24.0,,,11.0,,,,24.0,,,24.0,,,True,False
2019,census tract,1.0117.00,1.0117.00,16.0,,,2.0,,,,16.0,,,16.0,,,True,False
2019,census tract,1.0118.00,1.0118.00,116.0,,,12.0,,,,116.0,,,116.0,,,True,False
2019,census tract,1.0119.00,1.0119.00,133.0,,,20.0,,,,133.0,,,133.0,,,True,False
2019,census tract,1.0120.00,1.0120.00,84.0,,,12.0,,,,84.0,,,84.0,,,True,False
2019,census tract,1.0121.00,1.0121.00,149.0,,,13.0,,,,149.0,,,149.0,,,True,False
2019,census tract,1.0122.00,1.0122.00,144.0,21.0,0.14583333333333334,21.83,,,,144.0,21.0,0.14583333333333334,144.0,21.0,0.14583333333333334,True,True
2019,census tract,1.0124.00,1.0124.00,69.0,,,10.66,,,,69.0,,,69.0,,,True,False
2019,census tract,1.0125.00,1.0125.00,130.0,,,19.0,,,,130.0,,,130.0,,,True,False
2019,census tract,1.0126.00,1.0126.00,137.0,,,11.0,,,,137.0,,,137.0,,,True,False
2019,census tract,1.0127.00,1.0127.00,188.0,,,12.0,,,,188.0,,,188.0,,,True,False
2019,census tract,1.0128.00,1.0128.00,138.0,,,13.03,,,,138.0,,,138.0,,,True,False
2019,census tract,1.0129.00,1.0129.00,90.0,,,7.0,,,,90.0,,,90.0,,,True,False
2019,census tract,1.0130.00,1.0130.00,117.0,,,29.0,,,,117.0,,,117.0,,,True,False
2019,census tract,1.0131.00,1.0131.00,143.0,,,14.0,,,,143.0,,,143.0,,,True,False
2019,census tract,1.0132.00,1.0132.00,91.0,,,9.0,,,,91.0,,,91.0,,,True,False
2019,census tract,1.0133.00,1.0133.00,134.0,,,17.0,,,,134.0,,,134.0,,,True,False
2019,census tract,1.0134.00,1.0134.00,171.0,,,9.0,,,,171.0,,,171.0,,,True,False
2019,census tract,1.0135.00,1.0135.00,74.0,,,7.079999999999999,,,,74.0,,,74.0,,,True,False
2019,census tract,1.0136.00,1.0136.00,84.0,,,8.0,,,,84.0,,,84.0,,,True,False
2019,census tract,1.0137.00,1.0137.00,199.0,,,16.0,,,,199.0,,,199.0,,,True,False
2019,census tract,1.0138.00,1.0138.00,162.0,,,9.42,,,,162.0,,,162.0,,,True,False
2019,census tract,1.0139.00,1.0139.00,138.0,,,14.0,,,,138.0,,,138.0,,,True,False
2019,census tract,1.0140.00,1.0140.00,182.0,,,16.0,,,,182.0,,,182.0,,,True,False
2019,census tract,1.0142.00,1.0142.00,111.0,,,20.0,,,,111.0,,,111.0,,,True,False
2019,census tract,1.0144.01,1.0144.01,32.0,,,5.37,,,,32.0,,,32.0,,,True,False
2019,census tract,1.0144.02,1.0144.02,44.0,,,9.0,,,,44.0,,,44.0,,,True,False
2019,census tract,1.0145.00,1.0145.00,42.0,,,15.5,,,,42.0,,,42.0,,,True,False
2019,census tract,1.0146.01,1.0146.01,95.0,,,8.26,,,,95.0,,,95.0,,,True,False
2019,census tract,1.0146.02,1.0146.02,74.0,,,8.709999999999999,,,,74.0,,,74.0,,,True,False
2019,census tract,1.0147.00,1.0147.00,14.0,,,5.3,,,,14.0,,,14.0,,,True,False
2019,census tract,1.0148.01,1.0148.01,50.0,,,13.0,,,,50.0,,,50.0,,,True,False
2019,census tract,1.0148.02,1.0148.02,116.0,,,11.0,,,,116.0,,,116.0,,,True,False
2019,census tract,1.0149.00,1.0149.00,37.0,,,11.0,,,,37.0,,,37.0,,,True,False
2019,census tract,1.0150.01,1.0150.01,35.0,,,14.5,,,,35.0,,,35.0,,,True,False
2019,census tract,1.0150.02,1.0150.02,61.0,,,20.5,,,,61.0,,,61.0,,,True,False
2019,census tract,1.0151.00,1.0151.00,43.0,,,5.41,,,,43.0,,,43.0,,,True,False
2019,census tract,1.0152.00,1.0152.00,39.0,,,6.88,,,,39.0,,,39.0,,,True,False
2019,census tract,1.0153.00,1.0153.00,105.0,,,12.5,,,,105.0,,,105.0,,,True,False
2019,census tract,1.0154.00,1.0154.00,116.0,,,6.61,,,,116.0,,,116.0,,,True,False
2019,census tract,1.0155.00,1.0155.00,36.0,,,6.0,,,,36.0,,,36.0,,,True,False
2019,census tract,1.0156.01,1.0156.01,29.0,,,5.0,,,,29.0,,,29.0,,,True,False
2019,census tract,1.0157.00,1.0157.00,169.0,,,14.0,,,,169.0,,,169.0,,,True,False
2019,census tract,1.0158.01,1.0158.01,58.0,10.0,0.1724137931034483,9.83,,,,58.0,10.0,0.1724137931034483,58.0,10.0,0.1724137931034483,True,True
2019,census tract,1.0158.02,1.0158.02,30.0,,,8.0,,,,30.0,,,30.0,,,True,False
2019,census tract,1.0159.00,1.0159.00,55.0,,,9.0,,,,55.0,,,55.0,,,True,False
2019,census tract,1.0160.01,1.0160.01,29.0,,,16.1,,,,29.0,,,29.0,,,True,False
2019,census tract,1.0160.02,1.0160.02,18.0,0.0,0.0,8.209999999999999,,,,18.0,0.0,0.0,18.0,0.0,0.0,True,True
2019,census tract,1.0161.00,1.0161.00,57.0,,,15.580000000000002,,,,57.0,,,57.0,,,True,False
2019,census tract,1.0162.00,1.0162.00,18.0,0.0,0.0,2.06,,,,18.0,0.0,0.0,18.0,0.0,0.0,True,True
2019,census tract,1.0163.00,1.0163.00,53.0,,,13.290000000000001,,,,53.0,,,53.0,,,True,False
2019,census tract,1.0164.00,1.0164.00,17.0,0.0,0.0,4.5,,,,17.0,0.0,0.0,17.0,0.0,0.0,True,True
2019,census tract,1.0165.00,1.0165.00,60.0,,,10.09,,,,60.0,,,60.0,,,True,False
2019,census tract,1.0166.00,1.0166.00,90.0,,,4.0,,,,90.0,,,90.0,,,True,False
2019,census tract,1.0167.00,1.0167.00,122.0,,,13.0,,,,122.0,,,122.0,,,True,False
2019,census tract,1.0169.00,1.0169.00,108.0,,,11.0,,,,108.0,,,108.0,,,True,False
