year,geography_type,geography_name,geography_id,total_storefronts,vacant_storefronts,median_rent_psf,vacancy_rate
2019,census tract,1.0136.00,1.0136.00,84,NA,8,NA
2019,census tract,1.0137.00,1.0137.00,199,NA,16,NA
2019,census tract,1.0138.00,1.0138.00,162,NA,9.42,NA
2019,census tract,1.0139.00,1.0139.00,138,NA,14,NA
2019,census tract,1.0140.00,1.0140.00,182,NA,16,NA
2019,census tract,1.0142.00,1.0142.00,111,NA,20,NA
2019,census tract,1.0144.01,1.0144.01,32,NA,5.37,NA
2019,census tract,1.0144.02,1.0144.02,44,NA,9,NA
2019,census tract,1.0145.00,1.0145.00,42,NA,15.5,NA
2019,census tract,1.0146.01,1.0146.01,95,NA,8.26,NA
2019,census tract,1.0146.02,1.0146.02,74,NA,8.709999999999999,NA
2019,census tract,1.0147.00,1.0147.00,14,NA,5.3,NA
2019,census tract,1.0148.01,1.0148.01,50,NA,13,NA
2019,census tract,3.0326.00,3.0326.00,19,NA,2.27,NA
2019,census tract,1.0148.02,1.0148.02,116,NA,11,NA
2019,census tract,1.0149.00,1.0149.00,37,NA,11,NA
2019,census tract,1.0150.01,1.0150.01,35,NA,14.5,NA
2019,census tract,1.0150.02,1.0150.02,61,NA,20.5,NA
2019,census tract,1.0151.00,1.0151.00,43,NA,5.41,NA
2019,census tract,1.0152.00,1.0152.00,39,NA,6.88,NA
2019,census tract,1.0153.00,1.0153.00,105,NA,12.5,NA
2019,census tract,1.0154.00,1.0154.00,116,NA,6.609999999999999,NA
2019,census tract,1.0155.00,1.0155.00,36,NA,6,NA
2019,census tract,1.0156.01,1.0156.01,29,NA,5,NA
2019,census tract,1.0157.00,1.0157.00,169,NA,14,NA
2019,census tract,1.0158.01,1.0158.01,58,10,9.83,0.1724137931034483
2019,census tract,1.0158.02,1.0158.02,30,NA,8,NA
2019,census tract,1.0159.00,1.0159.00,55,NA,9,NA
2019,census tract,1.0160.01,1.0160.01,29,NA,16.1,NA
2019,census tract,1.0160.02,1.0160.02,18,0,8.209999999999999,0
2019,census tract,1.0161.00,1.0161.00,57,NA,15.58,NA
2019,census tract,1.0162.00,1.0162.00,18,0,2.06,0
2019,census tract,1.0163.00,1.0163.00,53,NA,13.29,NA
2019,census tract,1.0164.00,1.0164.00,17,0,4.5,0
2019,census tract,1.0165.00,1.0165.00,60,NA,10.09,NA
2019,census tract,1.0166.00,1.0166.00,90,NA,4,NA
2019,census tract,1.0167.00,1.0167.00,122,NA,13,NA
2019,census tract,1.0169.00,1.0169.00,108,NA,11,NA
2019,census tract,1.0170.00,1.0170.00,77,NA,5,NA
2019,census tract,1.0171.00,1.0171.00,59,NA,13,NA
2019,census tract,1.0172.00,1.0172.00,129,NA,4,NA
2019,census tract,1.0173.00,1.0173.00,47,NA,8.02,NA
2019,census tract,1.0174.01,1.0174.01,15,NA,4,NA
2019,census tract,1.0174.02,1.0174.02,19,NA,4,NA
2019,census tract,1.0175.00,1.0175.00,59,NA,10.88,NA
2019,census tract,1.0177.00,1.0177.00,34,NA,7.5,NA
2019,census tract,1.0178.00,1.0178.00,57,NA,4,NA
2019,census tract,1.0179.00,1.0179.00,63,NA,11,NA
2019,census tract,1.0180.00,1.0180.00,62,NA,4,NA
2019,census tract,1.0181.00,1.0181.00,38,NA,9,NA
2019,census tract,1.0182.00,1.0182.00,113,NA,5,NA
2019,census tract,1.0183.00,1.0183.00,90,NA,12.26,NA
2019,census tract,1.0184.00,1.0184.00,72,NA,3.74,NA
2019,census tract,1.0185.00,1.0185.00,29,0,4.78,0
2019,census tract,1.0186.00,1.0186.00,13,NA,4.5,NA
2019,census tract,1.0187.00,1.0187.00,68,NA,9.5,NA
2019,census tract,1.0188.00,1.0188.00,102,NA,4,NA
2019,census tract,1.0189.00,1.0189.00,42,NA,6.33,NA
2019,census tract,1.0190.00,1.0190.00,22,NA,4,NA
2019,census tract,1.0191.00,1.0191.00,63,NA,9,NA
2019,census tract,1.0193.00,1.0193.00,88,NA,6,NA
2019,census tract,1.0194.00,1.0194.00,38,NA,3,NA
2019,census tract,1.0195.00,1.0195.00,58,NA,10,NA
2019,census tract,1.0196.00,1.0196.00,89,NA,5.38,NA
2019,census tract,1.0197.02,1.0197.02,10,0,3,0
2019,census tract,1.0198.00,1.0198.00,43,NA,4,NA
2019,census tract,1.0199.00,1.0199.00,52,NA,10.32,NA
2019,census tract,1.0200.00,1.0200.00,68,NA,7,NA
2019,census tract,1.0201.02,1.0201.02,26,NA,4.64,NA
2019,census tract,1.0206.00,1.0206.00,36,NA,2.7800000000000002,NA
2019,census tract,1.0207.01,1.0207.01,13,0,6,0
2019,census tract,1.0208.00,1.0208.00,22,NA,3.5,NA
2019,census tract,1.0209.01,1.0209.01,44,NA,5.85,NA
2019,census tract,1.0211.00,1.0211.00,48,NA,5.58,NA
2019,census tract,1.0212.00,1.0212.00,56,NA,3,NA
2019,census tract,1.0213.03,1.0213.03,26,NA,3.92,NA
2019,census tract,1.0215.00,1.0215.00,21,NA,3,NA
2019,census tract,1.0216.00,1.0216.00,29,NA,5.76,NA
2019,census tract,1.0218.00,1.0218.00,78,NA,4,NA
2019,census tract,1.0219.00,1.0219.00,54,NA,5,NA
2019,census tract,1.0220.00,1.0220.00,53,NA,4.92,NA
2019,census tract,1.0221.02,1.0221.02,20,0,4.83,0
2019,census tract,1.0222.00,1.0222.00,89,NA,6,NA
2019,census tract,1.0223.01,1.0223.01,53,NA,6.04,NA
2019,census tract,1.0223.02,1.0223.02,12,0,14,0
2019,census tract,1.0224.00,1.0224.00,36,NA,3,NA
2019,census tract,1.0225.00,1.0225.00,90,NA,6,NA
2019,census tract,1.0226.00,1.0226.00,66,NA,4,NA
2019,census tract,1.0227.00,1.0227.00,31,NA,7,NA
2019,census tract,1.0228.00,1.0228.00,58,NA,4,NA
2019,census tract,1.0229.00,1.0229.00,82,NA,6,NA
2019,census tract,1.0230.00,1.0230.00,65,10,4,0.15384615384615385
2019,census tract,1.0231.00,1.0231.00,43,NA,4.42,NA
2019,census tract,1.0232.00,1.0232.00,115,NA,3.67,NA
2019,census tract,1.0233.00,1.0233.00,71,NA,7.3,NA
2019,census tract,1.0234.00,1.0234.00,28,NA,3.88,NA
2019,census tract,1.0235.01,1.0235.01,26,NA,2.46,NA
2019,census tract,1.0235.02,1.0235.02,18,NA,1,NA
2019,census tract,1.0236.00,1.0236.00,30,NA,4.41,NA
2019,census tract,1.0237.00,1.0237.00,33,NA,4.59,NA
2019,census tract,1.0238.01,1.0238.01,15,NA,3.5,NA
2019,census tract,1.0239.00,1.0239.00,11,0,5,0
2019,census tract,1.0241.00,1.0241.00,57,11,7,0.19298245614035087
2019,census tract,1.0242.00,1.0242.00,17,NA,2.72,NA
2019,census tract,1.0243.01,1.0243.01,33,NA,4,NA
2019,census tract,1.0245.00,1.0245.00,200,21,7,0.105
2019,census tract,1.0249.00,1.0249.00,18,NA,4,NA
2019,census tract,1.0251.00,1.0251.00,34,NA,4.46,NA
2019,census tract,1.0253.00,1.0253.00,127,NA,6.41,NA
2019,census tract,1.0257.00,1.0257.00,35,NA,6,NA
2019,census tract,1.0259.00,1.0259.00,40,NA,3.07,NA
2019,census tract,1.0261.00,1.0261.00,120,NA,5.42,NA
2019,census tract,1.0263.00,1.0263.00,132,NA,7,NA
2019,census tract,1.0265.00,1.0265.00,105,NA,8,NA
2019,census tract,1.0269.00,1.0269.00,143,NA,6,NA
2019,census tract,1.0271.00,1.0271.00,112,NA,7.58,NA
2019,census tract,1.0273.00,1.0273.00,62,NA,6.5,NA
2019,census tract,1.0277.00,1.0277.00,45,NA,5.75,NA
2019,census tract,1.0279.00,1.0279.00,87,NA,5.92,NA
2019,census tract,1.0283.00,1.0283.00,69,NA,5,NA
2019,census tract,1.0285.00,1.0285.00,100,10,4.7700000000000005,0.1
2019,census tract,1.0287.00,1.0287.00,73,NA,6,NA
2019,census tract,1.0291.00,1.0291.00,103,NA,5.33,NA
2019,census tract,1.0293.00,1.0293.00,175,NA,5,NA
2019,census tract,1.0295.00,1.0295.00,67,NA,6,NA
2019,census tract,1.0299.00,1.0299.00,44,NA,3.07,NA
2019,census tract,1.0303.00,1.0303.00,56,NA,4,NA
2019,census tract,1.0307.00,1.0307.00,12,NA,2,NA
2019,census tract,1.0309.00,1.0309.00,49,NA,4.67,NA
2019,census tract,1.0317.03,1.0317.03,48,NA,6,NA
2019,census tract,1.0317.04,1.0317.04,33,NA,7,NA
2019,census tract,2.0004.00,2.0004.00,10,NA,NA,NA
2019,census tract,2.0019.00,2.0019.00,84,NA,2,NA
2019,census tract,2.0020.00,2.0020.00,13,NA,1.2,NA
2019,census tract,2.0025.00,2.0025.00,53,NA,5,NA
2019,census tract,2.0027.01,2.0027.01,16,NA,3.62,NA
2019,census tract,2.0027.02,2.0027.02,27,NA,4,NA
2019,census tract,2.0028.00,2.0028.00,32,NA,2.96,NA
2019,census tract,2.0031.00,2.0031.00,48,NA,2,NA
2019,census tract,2.0033.00,2.0033.00,10,0,NA,0
2019,census tract,2.0035.00,2.0035.00,24,0,3,0
2019,census tract,2.0039.00,2.0039.00,80,NA,4,NA
2019,census tract,2.0041.00,2.0041.00,18,NA,4.44,NA
2019,census tract,2.0042.00,2.0042.00,51,NA,4,NA
2019,census tract,2.0043.00,2.0043.00,106,NA,4,NA
2019,census tract,2.0044.00,2.0044.00,15,NA,2.34,NA
2019,census tract,2.0046.00,2.0046.00,10,0,5.5,0
2019,census tract,2.0048.00,2.0048.00,30,NA,3.21,NA
2019,census tract,2.0050.01,2.0050.01,18,NA,3,NA
2019,census tract,2.0050.02,2.0050.02,40,NA,3,NA
2019,census tract,2.0051.00,2.0051.00,33,NA,3,NA
2019,census tract,2.0054.00,2.0054.00,74,NA,3.74,NA
2019,census tract,2.0056.00,2.0056.00,21,NA,4,NA
2019,census tract,2.0059.02,2.0059.02,22,NA,4,NA
2019,census tract,2.0060.00,2.0060.00,14,NA,2,NA
2019,census tract,2.0061.00,2.0061.00,39,NA,4.5,NA
2019,census tract,2.0062.00,2.0062.00,23,NA,4,NA
2019,census tract,2.0063.00,2.0063.00,123,NA,6,NA
2019,census tract,2.0065.00,2.0065.00,160,NA,4.17,NA
2019,census tract,2.0067.00,2.0067.00,73,NA,4,NA
2019,census tract,2.0069.00,2.0069.00,27,NA,3.06,NA
2019,census tract,2.0070.00,2.0070.00,26,NA,3.38,NA
2019,census tract,2.0071.00,2.0071.00,65,NA,4,NA
2019,census tract,2.0072.00,2.0072.00,45,NA,3.71,NA
2019,census tract,2.0073.00,2.0073.00,32,NA,4.83,NA
2019,census tract,2.0075.00,2.0075.00,24,NA,2.3099999999999996,NA
2019,census tract,2.0076.00,2.0076.00,79,NA,2.42,NA
2019,census tract,2.0077.00,2.0077.00,27,NA,2,NA
2019,census tract,2.0078.00,2.0078.00,31,NA,2,NA
2019,census tract,2.0079.00,2.0079.00,29,NA,2.9699999999999998,NA
2019,census tract,2.0083.00,2.0083.00,44,NA,2.54,NA
2019,census tract,2.0085.00,2.0085.00,33,NA,2,NA
2019,census tract,2.0087.00,2.0087.00,55,NA,2.68,NA
2019,census tract,2.0090.00,2.0090.00,27,NA,2,NA
2019,census tract,2.0092.00,2.0092.00,84,NA,4,NA
2019,census tract,2.0093.00,2.0093.00,102,11,2,0.10784313725490197
2019,census tract,2.0096.00,2.0096.00,31,NA,3,NA
2019,census tract,2.0098.00,2.0098.00,11,NA,NA,NA
2019,census tract,2.0115.02,2.0115.02,40,NA,2,NA
2019,census tract,2.0117.00,2.0117.00,18,0,1,0
2019,census tract,2.0119.00,2.0119.00,57,0,5.92,0
2019,census tract,2.0123.00,2.0123.00,16,NA,2,NA
2019,census tract,2.0125.00,2.0125.00,24,NA,2.61,NA
2019,census tract,2.0127.01,2.0127.01,35,NA,6,NA
2019,census tract,2.0129.01,2.0129.01,53,13,2.8299999999999996,0.24528301886792453
2019,census tract,2.0131.00,2.0131.00,22,NA,2.17,NA
2019,census tract,2.0132.00,2.0132.00,16,0,3.2800000000000002,0
2019,census tract,2.0133.00,2.0133.00,14,NA,1.79,NA
2019,census tract,2.0141.00,2.0141.00,54,NA,3,NA
2019,census tract,2.0143.00,2.0143.00,20,NA,4.5,NA
2019,census tract,2.0145.00,2.0145.00,50,NA,3,NA
2019,census tract,2.0149.00,2.0149.00,34,NA,3,NA
2019,census tract,2.0151.00,2.0151.00,49,NA,4,NA
2019,census tract,2.0152.00,2.0152.00,26,NA,5,NA
2019,census tract,2.0153.00,2.0153.00,10,0,2,0
2019,census tract,2.0155.00,2.0155.00,40,NA,2,NA
2019,census tract,2.0157.00,2.0157.00,13,NA,1.22,NA
2019,census tract,2.0158.00,2.0158.00,10,0,NA,0
2019,census tract,2.0159.00,2.0159.00,46,NA,4.85,NA
2019,census tract,2.0161.00,2.0161.00,70,NA,3.09,NA
2019,census tract,2.0162.00,2.0162.00,14,NA,3.4099999999999997,NA
2019,census tract,2.0164.00,2.0164.00,28,NA,3,NA
2019,census tract,2.0165.00,2.0165.00,18,NA,1.92,NA
2019,census tract,2.0166.00,2.0166.00,27,NA,3,NA
2019,census tract,2.0167.00,2.0167.00,25,NA,2.05,NA
2019,census tract,2.0169.00,2.0169.00,13,NA,3,NA
2019,census tract,2.0173.00,2.0173.00,21,0,4,0
2019,census tract,2.0175.00,2.0175.00,27,NA,2.5,NA
2019,census tract,2.0177.01,2.0177.01,28,0,3,0
2019,census tract,2.0177.02,2.0177.02,29,NA,2,NA
2019,census tract,2.0179.01,2.0179.01,31,0,5,0
2019,census tract,2.0179.02,2.0179.02,19,NA,3,NA
2019,census tract,2.0181.01,2.0181.01,36,NA,4,NA
2019,census tract,2.0181.02,2.0181.02,38,NA,4,NA
2019,census tract,2.0183.01,2.0183.01,19,NA,3,NA
2019,census tract,2.0183.02,2.0183.02,22,0,3,0
2019,census tract,2.0184.00,2.0184.00,32,NA,3.5,NA
2019,census tract,2.0185.00,2.0185.00,85,NA,2.14,NA
2019,census tract,2.0189.00,2.0189.00,39,NA,2.06,NA
2019,census tract,2.0193.00,2.0193.00,12,0,2,0
2019,census tract,2.0194.00,2.0194.00,13,NA,NA,NA
2019,census tract,2.0195.00,2.0195.00,53,NA,5.17,NA
2019,census tract,2.0197.00,2.0197.00,79,NA,4,NA
2019,census tract,2.0199.00,2.0199.00,37,NA,3,NA
2019,census tract,2.0200.00,2.0200.00,116,NA,3,NA
2019,census tract,2.0201.00,2.0201.00,20,NA,3,NA
2019,census tract,2.0202.00,2.0202.00,23,NA,3,NA
2019,census tract,2.0206.01,2.0206.01,24,NA,2.64,NA
2019,census tract,2.0209.00,2.0209.00,39,NA,3,NA
2019,census tract,2.0211.00,2.0211.00,28,NA,2.5,NA
2019,census tract,2.0213.01,2.0213.01,21,NA,3.5,NA
2019,census tract,2.0213.02,2.0213.02,11,NA,1,NA
2019,census tract,2.0215.01,2.0215.01,35,NA,3.5,NA
2019,census tract,2.0215.02,2.0215.02,37,NA,3,NA
2019,census tract,2.0216.01,2.0216.01,25,0,3,0
2019,census tract,2.0216.02,2.0216.02,109,14,3,0.12844036697247707
2019,census tract,2.0217.00,2.0217.00,22,NA,1.44,NA
2019,census tract,2.0218.00,2.0218.00,25,NA,2,NA
2019,census tract,2.0219.00,2.0219.00,23,NA,4,NA
2019,census tract,2.0220.00,2.0220.00,17,NA,2.5,NA
2019,census tract,2.0221.01,2.0221.01,44,NA,3,NA
2019,census tract,2.0221.02,2.0221.02,35,0,3,0
2019,census tract,2.0222.00,2.0222.00,99,NA,3,NA
2019,census tract,2.0223.00,2.0223.00,43,NA,7,NA
2019,census tract,2.0224.01,2.0224.01,34,NA,54,NA
2019,census tract,2.0224.03,2.0224.03,38,NA,5.81,NA
2019,census tract,2.0224.04,2.0224.04,48,NA,35,NA
2019,census tract,2.0225.00,2.0225.00,46,NA,4,NA
2019,census tract,2.0227.01,2.0227.01,42,NA,3.15,NA
2019,census tract,2.0227.02,2.0227.02,26,NA,4,NA
2019,census tract,2.0227.03,2.0227.03,10,0,4.79,0
